rmse,bytes,enc_ops,time_s,A_reports,B_reports,pickedA,Kp,route_ratio,var,resid_var,tau_percentile,A_budget_ratio,accountant_mode,epsilon_round,epsilon_cum_window,epsilon_limit,filter_triggered,shuffle_used,epsilon_effective,geo_r_protect,vdaf_ok_ratio,reject_ratio,vdaf_http,dap_mode,batch_key,collect_id,method,suite_idx,epsilon,rho,mal_rate
10.994958507849258,72,0,0.001949310302734375,0,6,0,0,0.0,28.486256592886615,80.3181142774983,90.0,0.162,naive,1.0,1.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:00:00+00:00,,sahtd,5,1.0,0.25,0.3
4.559475909207252,264,0,0.0029251575469970703,0,22,0,0,0.0,22.630007268785214,13.974735807481169,95.0,0.16096320000000003,naive,1.0,2.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:05:00+00:00,,sahtd,5,1.0,0.25,0.3
7.281410680757991,276,0,0.0040280818939208984,0,23,0,0,0.0,15.879904080602978,44.812042391953796,95.0,0.15993303552000004,naive,1.0,3.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:10:00+00:00,,sahtd,5,1.0,0.25,0.3
4.966370974273736,576,0,0.0036191940307617188,0,48,0,0,0.0,32.43678941227405,16.56434118581669,95.0,0.15890946409267204,naive,1.0,4.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:15:00+00:00,,sahtd,5,1.0,0.25,0.3
3.280959118464308,684,0,0.005038022994995117,0,57,0,0,0.0,15.703101907241631,8.895364896039187,95.0,0.15789244352247894,naive,1.0,5.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:20:00+00:00,,sahtd,5,1.0,0.25,0.3
2.7305780002855866,348,0,0.004653215408325195,0,29,0,0,0.0,26.86126490041193,7.155802617038337,95.0,0.1568819318839351,naive,1.0,6.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:25:00+00:00,,sahtd,5,1.0,0.25,0.3
2.461454249295601,660,0,0.002895832061767578,0,55,0,0,0.0,5.762918226115828,5.476329849495658,95.0,0.15587788751987794,naive,1.0,7.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:30:00+00:00,,sahtd,5,1.0,0.25,0.3
7.860454294827722,428,4,0.0025260448455810547,2,33,0,0,0.057142857141224496,10.31050781245228,56.970708528759815,95.0,0.15488026903975075,naive,1.0,8.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:35:00+00:00,,sahtd,5,1.0,0.25,0.3
1.3087297093802321,664,20,0.002470731735229492,10,42,0,0,0.19230769230399408,3.6077578476137737,1.537522385859475,95.0,0.15388903531789638,naive,1.0,9.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:40:00+00:00,,sahtd,5,1.0,0.25,0.3
4.25417326747344,624,0,0.003573894500732422,0,52,0,0,0.0,27.971958007468228,14.600727529523338,95.0,0.15290414549186188,naive,1.0,10.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:45:00+00:00,,sahtd,5,1.0,0.25,0.3
1.603137370601514,576,0,0.0029108524322509766,0,48,0,0,0.0,7.797585655838927,2.470813528739676,95.0,0.15192555896071397,naive,1.0,11.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:50:00+00:00,,sahtd,5,1.0,0.25,0.3
3.2063983901548148,1064,4,0.003191709518432617,2,86,0,0,0.022727272727014462,12.491682618052272,8.838420612435494,95.0,0.15095323538336541,naive,1.0,12.0,32.0,False,False,,,,,False,dryrun,2025-01-01 00:55:00+00:00,,sahtd,5,1.0,0.25,0.3
2.3722479135024632,348,0,0.0026569366455078125,0,29,0,0,0.0,7.663814847195549,4.560211162105186,95.0,0.14998713467691188,naive,1.0,13.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:00:00+00:00,,sahtd,5,1.0,0.25,0.3
3.2576744012158962,732,0,0.0029401779174804688,0,61,0,0,0.0,9.124156240736712,9.149251736804622,95.0,0.14902721701497967,naive,1.0,14.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:05:00+00:00,,sahtd,5,1.0,0.25,0.3
2.8990334379950773,540,6,0.00238800048828125,3,41,0,0,0.0681818181802686,10.242335553163299,7.3204766780381645,95.0,0.14807344282608384,naive,1.0,15.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:10:00+00:00,,sahtd,5,1.0,0.25,0.3
2.4593262163271516,588,0,0.0031890869140625,0,49,0,0,0.0,7.211027809038106,5.551009314251973,95.0,0.14712577279199693,naive,1.0,16.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:15:00+00:00,,sahtd,5,1.0,0.25,0.3
3.663046329578518,528,0,0.003865957260131836,0,44,0,0,0.0,17.815789216215183,10.77351785567514,95.0,0.14618416784612817,naive,1.0,17.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:20:00+00:00,,sahtd,5,1.0,0.25,0.3
2.7719733976885825,288,0,0.002691984176635742,0,24,0,0,0.0,12.045989547727128,5.978714928810186,95.0,0.14524858917191297,naive,1.0,18.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:25:00+00:00,,sahtd,5,1.0,0.25,0.3
3.8104046528200217,300,0,0.0027348995208740234,0,25,0,0,0.0,17.685054161219863,12.31586487083396,95.0,0.14431899820121274,naive,1.0,19.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:30:00+00:00,,sahtd,5,1.0,0.25,0.3
2.3852243286243993,300,0,0.002483844757080078,0,25,0,0,0.0,9.992287845980627,5.4909594600519345,95.0,0.143395356612725,naive,1.0,20.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:35:00+00:00,,sahtd,5,1.0,0.25,0.3
3.4823209761928604,408,0,0.002713918685913086,0,34,0,0,0.0,15.4529658204642,8.677602626307571,95.0,0.14247762633040356,naive,1.0,21.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:40:00+00:00,,sahtd,5,1.0,0.25,0.3
2.0604940923652175,384,0,0.002646207809448242,0,32,0,0,0.0,10.148965954477774,3.2653966235741176,95.0,0.141565769521889,naive,1.0,22.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:45:00+00:00,,sahtd,5,1.0,0.25,0.3
2.41247179519748,340,8,0.0022726058959960938,4,23,0,0,0.14814814814266117,10.769767436532538,5.646173790227204,95.0,0.14065974859694894,naive,1.0,23.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:50:00+00:00,,sahtd,5,1.0,0.25,0.3
3.636688176331409,444,0,0.0027687549591064453,0,37,0,0,0.0,14.807111501546734,12.789561419640767,95.0,0.13975952620592846,naive,1.0,24.0,32.0,False,False,,,,,False,dryrun,2025-01-01 01:55:00+00:00,,sahtd,5,1.0,0.25,0.3
