rmse,rmse_raw,bytes,bytes_A,bytes_B,bytes_C,enc_ops,time_s,A_reports,B_reports,C_reports,pickedA,route_ratio,var,resid_var,tau_percentile,A_budget_ratio,accountant_mode,epsilon_round,epsilon_cum_window,epsilon_limit,filter_triggered,shuffle_used,epsilon_effective,geo_r_protect,vdaf_http,vdaf_ok_ratio,reject_ratio,dap_mode,batch_key,collect_id,system_issues,method,suite_idx,epsilon,rho,mal_rate
2.6810867856628127,2.6810867856628127,226,32,2,192,12,0.0012328624725341797,1,2,3,2,0.6666666665555555,42.112677008075224,4.092891289940971,70.0,0.2916,pld,2.0,2.0906529564170886,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:00:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
3.4041475660446494,3.5463871883862583,334,192,14,128,44,0.00475001335144043,6,14,2,2,0.3636363636198347,15.479571519045882,7.620619952629499,75.0,0.28973376,pld,2.0,4.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:05:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.6277301717728334,2.956551711063767,86,0,22,64,46,0.005346059799194336,0,22,1,1,0.04347826086767486,20.037334548403788,6.249270449741127,80.0,0.287879463936,pld,2.0,6.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:10:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.702622955736684,3.5803105605698295,236,64,44,128,96,0.0024008750915527344,2,44,2,3,0.08333333333159723,20.022438079630355,6.785536673716718,85.0,0.28603703536680963,pld,2.0,8.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:15:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.068587368044072,2.450215946779633,621,192,45,384,114,0.004525899887084961,6,45,6,2,0.21052631578578027,15.667121486972922,3.009334926920055,90.0,0.2842063983404621,pld,2.0,10.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:20:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
1.1793378097159837,1.788403896680737,590,384,14,192,58,0.0029897689819335938,12,14,3,4,0.5172413792925089,14.132821778243493,1.3260995877095305,95.0,0.28238747739108316,pld,2.0,12.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:25:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
1.3538811009208744,1.8280531968079634,551,512,39,0,110,0.0043790340423583984,16,39,0,2,0.2909090909038017,0.5598112918717105,1.739184809671654,95.0,0.2805801975357803,pld,2.0,14.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:30:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
1.8957941023869742,2.5615693988381705,625,544,17,64,70,0.0019578933715820312,17,17,1,5,0.5142857142710204,16.428174785019284,3.1516420849666082,95.0,0.3030266133386427,pld,2.0,16.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:35:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
1.6842838998636758,3.4979747125782694,551,320,39,192,104,0.0017549991607666016,10,39,3,3,0.24999999999519232,0.4209219854523052,2.215706033973186,95.0,0.32726874240573417,pld,2.0,18.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:40:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.676655861005304,3.10319911575388,832,480,32,320,104,0.0019609928131103516,15,32,5,5,0.38461538460798816,14.405983283996964,5.969222187812347,95.0,0.3534502417981929,pld,2.0,20.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:45:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
